	Transliteration	Normalized
460	Ab-ba-sa6-ga-a	Abasagaa[]PN
461	Ab-ba-sa6-ga-ce3	Abasaga[]PN
462	Ab-ba-sa6-ga-ka	Abasagaka[]PN
463	Ab-ba-sa6-ga-ta	Abasaga[]PN
464	Ab-ba-sa6-ga-ta-ta	Abasagata[]PN
465	Ab-ba-sa6-sa6	Abasagsag[]PN
466	Ab-ba-sig5	Abasig[]PN
467	Ab-ba-{d}En-lil2-ta	AbaEnlil[]PN
468	Ab-la	Abla[]PN
469	Ab-ra-at	Abrat[]PN
470	Ab2-la-la-a	Ablalaa[]PN
471	Abzu	Abzu[]PN
472	Abzu-{d}Inanna	AbzuInana[]PN
473	Ac-cur5{ki}	Aššur[]SN
474	Ac-cur6{ki}	Aššur[]SN
475	Ac-da-en-na	Ašdaʾena[]PN
476	Ac-da-ga	Ašdaga[]PN
477	Ac-gu-ba-rum	Ašgubarum[]PN
478	Ac-ku-da-num2	Aškudanum[]PN
479	Ac-ni-u18	Ašniʾu[]PN
480	Ac-ni-u18-ta	Ašniʾu[]PN
481	Ac-ni-u19	Ašniʾu[]PN
482	Ac-ni-u19-ta	Ašniʾu[]PN
483	Ac-nun{ki}-ta	Ašnun[]SN
484	Ac2-du-bi2-ic-ta	Ašdubiš[]PN
485	Ac2-nun-na-ta	Ašnuna[]PN
486	Ac2-nun-na{ki}	Ašnuna[]SN
487	Ac2-nun-na{ki}-ce3	Ašnuna[]SN
488	Ac2-nun-na{ki}-ta	Ašnuna[]SN
489	Ac2-nun{ki}	Ašnun[]SN
490	Ac2-nun{ki}-ce3	Ašnun[]SN
491	Ac2-nun{ki}-ka	Ašnunka[]SN
492	Ac2-nun{ki}-ta	Ašnun[]SN
493	Ad-da	Ada[]PN
494	Ad-da-a	Adaa[]PN
495	Ad-da-bi	Adabi[]PN
496	Ad-da-bu-NI-hu-dah	Ad.da.bu.NI.hu.dah[]PN
497	Ad-da-bu-ni	Adabuni[]PN
498	Ad-da-da	Adada[]PN
499	Ad-da-ga-da	Adagada[]PN
500	Ad-da-ga-da-ta	Adagada[]PN
501	Ad-da-ge-na	Adagena[]PN
502	Ad-da-gu-la	Adagula[]PN
503	Ad-da-ha-li	Adahali[]PN
504	Ad-da-kal-la	Adakala[]PN
505	Ad-da-kal-la-ce3	Adakala[]PN
506	Ad-da-kal-la-ta	Adakala[]PN
507	Ad-da-mu	Adaŋu[]PN
508	Ad-da-sa6-ga	Adasaga[]PN
509	Ad-da-tur	Adatur[]PN
510	Ad-du	Adu[]PN
511	Ad-du-na	Aduna[]PN
512	Ad-ga-nu-um	Adganum[]PN
513	Ad-lal3	Adlal[]PN
514	Ad6-NI-mu	Ad₆.NI.ŋu₁₀[]PN
515	Adab{ki}	Adab[]SN
516	Adab{ki}-ce3	Adab[]SN
517	Adab{ki}-ka	Adabka[]SN
518	Adab{ki}-me	Adabme[]SN
519	Adab{ki}-ta	Adab[]SN
520	Ah-ba-bu	Ahbabu[]PN
521	Ah-da-li-ib	Ahdalib[]PN
522	Ah-ha-ti-mur	Ahatimur[]PN
523	Ak-ba-ni	Akbani[]PN
524	Al-ba-ni-du11	Albanidug[]PN
525	Al-la	Ala[]PN
526	Al-la-DI-mu	Al.la.DI.ŋu₁₀[]PN
527	Al-la-LUL	Al.la.LUL[]PN
528	Al-la-LUL-ke4	Al.la.LUL[]PN
529	Al-la-a	Alaa[]PN
530	Al-la-ca-ru-um	Alašarum[]PN
531	Al-la-ce3	Ala[]PN
532	Al-la-ge-na	Alagena[]PN
533	Al-la-ha-ma-ti	Alahamati[]PN
534	Al-la-mu	Alaŋu[]PN
535	Al-la-mu-ta	Alaŋu[]PN
536	Al-la-ta	Ala[]PN
537	Al-lu	Alu[]PN
538	Al-lu-ri-num2	Alurinum[]PN
539	Al-lu-ta	Alu[]PN
540	Am-NI.NI	Am.NI.NI[]PN
541	Am-i3-li2	Amili[]PN
542	Am-ma-ti	Amati[]PN
543	Am-za-ku-um	Amzakum[]PN
544	Am3-ma	Ama[]PN
545	Ama-KI.KAL{ki}	Ama.KI.KAL{ki}[]SN
546	Ama-KI.KAL{ki}-ce3	Ama.KI.KAL{ki}[]SN
547	Ama-LUL.PI.IR	Ama.LUL.PI.IR[]PN
548	Ama-ak-nu-um	Amaknum[]PN
549	Ama-bara2	Amabarag[]PN
550	Ama-dingir	Amadiŋir[]PN
551	Ama-kal-la	Amakala[]PN
552	Ama-mu	Amaŋu[]PN
553	Ama-na-a	Amanaa[]PN
554	Ama-zi-mu	Amaziŋu[]PN
555	Ama-{d}Ec4-tar2	AmaEštar[]PN
556	Amar	Amar[]PN
557	Amar-Ma-ma	Amar.Ma.ma[]PN
558	Amar-Ma-ma-ta	Amar.Ma.ma[]PN
559	Amar-bu-um-ma	Amarbuma[]PN
560	Amar-cuba	Amaršuba[]PN
561	Amar-cuba-ta	Amaršuba[]PN
562	Amar-cuba3	Amaršuba[]PN
563	Amar-isin2{si}-na	Amarisinna[]PN
564	Amar-ma-an{ki}-ta	Amarman[]SN
565	Amar-si4	Amarsi[]PN
566	Amar-{d}Da-mu	AmarDaŋu[]PN
