	Transliteration	Normalized
20513	Pa5-enku	Paʾenku[]PN
20514	Pa5-enku-me	Paʾenkume[]PN
20515	Pa5-enku-ta	Paʾenku[]PN
20516	Pa5-enku{ki}	Paʾenku[]SN
20517	Pa5-enku{ki}-ta	Paʾenku[]SN
20518	Pa5-hal-li2	Pahali[]PN
20519	Pa5-hal-li2-ka	Pahalika[]PN
20520	Pa5-hal-li2{ki}	Pahali[]SN
20521	Pa5-pa5	Papa[]PN
20522	Pa5-tibira-ka	Patibiraka[]PN
20523	Pa5-tibira{ki}	Patibira[]SN
20524	Pa5-u2-e	Paʾuʾe[]PN
20525	Pa5-u2-e-še3	Paʾuʾe[]PN
20526	Pa5PAP.E-u2-e	Pa₅PAP.E.u₂.e[]PN
20527	Pad-da	Pada[]PN
20528	Pettinato:	Petinato[]PN
20529	Peš2-AŠ	Peš₂.AŠ[]PN
20530	Peš2-am3	Pešam[]PN
20531	Peš2-am3-ta	Pešam[]PN
20532	Peš2-sa6-ga	Pešsaga[]PN
20533	Peš2-tur	Peštur[]PN
20534	Peš2-tur-tur	Pešturtur[]PN
20535	Peš2-tur-tur-me	Pešturturme[]PN
20536	Peš2-tur-uru-da	Pešturirida[]PN
20537	Peš5	Peš[]PN
20538	Peš5-a	Peša[]PN
20539	Peš5-rum	Pešrum[]PN
20540	Peš5-tur-tur	Pešturtur[]PN
20541	Peš6-rum	Pešrum[]PN
20542	Pi-iš	Piš[]PN
20543	Pi-mi-ri2	Pimiri[]PN
20544	Pi-ru-a	Piruʾa[]PN
20545	Pi-ru-ru	Piruru[]PN
20546	Pi-ru-ru-ta	Piruru[]PN
20547	Pi-ru-ru-ti	Piruruti[]PN
20548	Pi-ru-ru-tum	Pirurutum[]PN
20549	Pi2-ir-HA-šu-um	Pi₂.ir.HA.šu.um[]PN
20550	Pi2-ir-HA-šum	Pi₂.ir.HA.šum[]PN
20551	Pi2-la-ah-DINGIR	Pi₂.la.ah.DINGIR[]PN
20552	Pi2-na-ra-tum{ki}	Pinaratum[]SN
20553	Pi2-sa-ah-DINGIR-ta	Pi₂.sa.ah.DINGIR[]PN
20554	Pi2-zah3-DINGIR	Pi₂.zah₃.DINGIR[]PN
20555	Pi2-ša-ah-DINGIR	Pi₂.ša.ah.DINGIR[]PN
20556	Pi2-ša10-ah-DINGIR	Pi₂.ša₁₀.ah.DINGIR[]PN
20557	Pi5-a-num2	Piʾanum[]PN
20558	Pi5-ša-ah-DINGIR	Pi₅.ša.ah.DINGIR[]PN
20559	Pi5-ša-ah-lum	Pišahlum[]PN
20560	Pi5-ša-ha-lum	Pišahalum[]PN
20561	Pi5-ša-hi-DINGIR	Pi₅.ša.hi.DINGIR[]PN
20562	Pi5-ša-hi-DINGIR-ta	Pi₅.ša.hi.DINGIR[]PN
20563	Pi5-ša-hi-il3	Pišahil[]PN
20564	Pi5-ša-hi-li	Pišahili[]PN
20565	Pi5-ša-hi-lum	Pišahilum[]PN
20566	Pil-sum	Pilsum[]PN
20567	Pirig-am3	Piriŋam[]PN
20568	Pirig-dalla	Piriŋdala[]PN
20569	Pirig-me3	Piriŋme[]PN
20570	Pirig-mu	Piriŋŋu[]PN
20571	Pirig3-am3	Pirigam[]PN
20572	Pu-du-um-ki-ri-iš	Pudumkiriš[]PN
20573	Pu-ga-ga	Pugaga[]PN
20574	Pu-ga-nu-um	Puganum[]PN
20575	Pu-gu	Pugu[]PN
20576	Pu-hi-i3-zi	Puhizi[]PN
20577	Pu-ka	Puka[]PN
20578	Pu-lu5-lu5	Pululu[]PN
20579	Pu-pu-ka	Pupuka[]PN
20580	Pu-ru-kum	Purukum[]PN
20581	Pu-ru-ru-ta	Pururu[]PN
20582	Pu-ru-us-ta	Purus[]PN
20583	Pu-su	Pusu[]PN
20584	Pu-su-a	Pusuʾa[]PN
20585	Pu-su2	Pusu[]PN
20586	Pu-su2-num2	Pusunum[]PN
20587	Pu-ta-nu-um	Putanum[]PN
20588	Pu-ta2-nu-um	Putanum[]PN
20589	Pu-ta2-num2	Putanum[]PN
20590	Pu-tu-li-um{ki}	Putuliʾum[]SN
20591	Pu-u2-us2{ki}	Puus[]SN
20592	Pu-u3	Puu[]PN
20593	Pu-uh2-lim-še3	Puhlim[]PN
20594	Pu-uh2-pa2-zu	Puhpazu[]PN
20595	Pu-uh2-zi-gar3{ki}	Puhzigar[]SN
20596	Pu-ul-ba-at	Pulbat[]PN
20597	Pu-us2	Pus[]PN
20598	Pu-us2-ki	Puski[]PN
20599	Pu-us2-sa{ki}	Pusa[]SN
20600	Pu-us2{ki}	Pus[]SN
20601	Pu-us2{ki}-ka	Puska[]SN
20602	Pu-us2{ki}-me	Pusme[]SN
20603	Pu-us2{ki}-ra	Pusra[]SN
20604	Pu-us2{ki}-ta	Pus[]SN
20605	Pu-us2{ki}-še3	Pus[]SN
20606	Pu-ut-tu-li-um{ki}	Putuliʾum[]SN
20607	Pu-ut-tu-li-um{ki}-me	Putuliʾumme[]SN
20608	Pu-ut-ša-dar{ki}	Putšadar[]SN
20609	Pu-uš-du10	Pušdug[]PN
20610	Pu-za-lum	Puzalum[]PN
